"Link";"ID";"Brand Name";"Product Name";"Calories";"Caffeine Blend";"Creatine";"Beta_Alanine";"L_Theanine";"L_Citrulline";"L_Tyrosine";"Taurine";"Betaine";"Citrulline_Malate";"Agmatine_Sulfate";"Nitrosigine";"Theobromine";"Huperzine_A";"Other_ingredients";"WOMAN";"PUMP";"STRENGTH";"ENERGY";"FOCUS";"ENDURANCE"
"https://dsld.od.nih.gov/label/255148";255148;"Axe & Sledge Supplements";"Hydraulic Shark Bite Orange Mango Flavored";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255149";255149;"Axe & Sledge Supplements";"Hydraulic Strawberry Lemonade";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255179";255179;"Axe & Sledge Supplements";"Hydraulic Unicorn Blood";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255181";255181;"Axe & Sledge Supplements";"Hydraulic Swamp Beast Apple Berry Flavor";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255184";255184;"Axe & Sledge Supplements";"Ignition Switch Scorpion Venom";0;150;0.0;0.0;0.0;2.5;0;0.0;0.0;0.0;250.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255185";255185;"Axe & Sledge Supplements";"Ignition Switch Shark Bite Orange Mango Flavored";0;150;0.0;0.0;0.0;2.5;0;0.0;0.0;0.0;250.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255188";255188;"Axe & Sledge Supplements";"Ignition Switch Unicorn Blood";0;150;0.0;0.0;0.0;2.5;0;0.0;0.0;0.0;250.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255190";255190;"Axe & Sledge Supplements";"Ignition Switch Watermelon Lemonade";0;150;0.0;0.0;0.0;2.5;0;0.0;0.0;0.0;250.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255250";255250;"Axe & Sledge Supplements";"The Grind Big Melons";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255251";255251;"Axe & Sledge Supplements";"The Grind Deadlifts";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255254";255254;"Axe & Sledge Supplements";"The Grind HWMF";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255262";255262;"Axe & Sledge Supplements";"The Grind Your Mom's Lemonade";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255269";255269;"Axe & Sledge Supplements";"The Grind Scorpion Venom";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255271";255271;"Axe & Sledge Supplements";"The Grind Orange Mango Flavored Shark Bite";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255273";255273;"Axe & Sledge Supplements";"The Grind Apple Berry Flavored Swamp Beast";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255276";255276;"Axe & Sledge Supplements";"The Grind Your Mom's Sweet Peach";0;0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255344";255344;"Optimum Nutrition";"Gold Standard Pre-Workout Fruit Punch";10;175;0.0;0.0;0.0;0.75;250;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255556";255556;"MuscleTech Performance Series";"Mass Tech Extreme 2000 Triple Chocolate Brownie";1830;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255754";255754;"Gaspari Nutrition";"Creatine 5 g Unflavored";0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255795";255795;"Reliv";"Provantage Creamy Vanilla Flavor";100;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255833";255833;"Repp Sports";"Broken Arrow Hail Storm";0;350;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/255834";255834;"MuscleTech";"100% Mass Gainer Chocolate Fudge Brownie";1330;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255862";255862;"InnovaPharm";"MVPre 2.0 Freedom Pop";0;175;0.0;0.0;0.0;0.0;250;0.0;0.0;0.0;0.0;0.0;0.0;0.08;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255887";255887;"MuscleTech";"Shatter Black Onyx Fruit Candy";35;300;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/255888";255888;"MuscleTech";"Shatter SX-7 Revolution Miami Spring Break";45;300;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/255889";255889;"MuscleTech";"Amino Build SX-7 Revolution Strawberry Lemonade";60;100;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255893";255893;"MuscleTech";"Shatter Pumped 8 Black Onyx Blueberry Lemonade";15;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255896";255896;"MuscleTech";"Amino Max EAA Black Onyx Strawberry Lemonade";50;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255932";255932;"MuscleTech";"Shatter Elite Glacier Berry";0;350;0.0;0.0;125.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/255934";255934;"MuscleTech";"Shatter Rainbow Fruit Candy";10;350;0.0;0.0;125.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/255937";255937;"MuscleTech";"Cell Tech Tropical Citrus Punch";150;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/256157";256157;"AN Amazing Nutrition Amazing Formulas";"Taurine";0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/256184";256184;"IMSOALPHA";"Pre-Alpha Fruit Punch";5;200;2.0;0.0;0.0;0.0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/256190";256190;"IMSOALPHA";"Pre-Alpha Lemonade";0;200;2.0;0.0;0.0;0.0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/256234";256234;"IMSOALPHA";"Amino 5g+ Peach Mango";5;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/256278";256278;"DAS Labs";"Bucked Up Pre-Workout Blue Snow Cone";0;200;0.0;2.0;0.0;0.0;0;100.0;0.0;6.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/256288";256288;"DAS Labs";"Bucked Up Pre-Workout Red Snow Cone";0;200;0.0;2.0;0.0;0.0;0;100.0;0.0;6.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/256297";256297;"DAS Labs";"Woke AF Preworkout Blue Snow Cone";0;333;0.0;3.2;0.0;0.0;0;100.0;0.0;6.0;0.0;0.0;300.0;0.05;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/256306";256306;"DAS Labs";"Woke AF Preworkout Red Snow Cone";0;333;0.0;3.2;0.0;0.0;0;100.0;0.0;6.0;0.0;0.0;300.0;0.05;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257412";257412;"Jacked Factory JF";"Altius Mixed Berry";5;325;3.0;3.2;0.0;0.0;0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257488";257488;"Havasu Nutrition";"Beet Root Powder+ Black Cherry Flavor";40;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.18;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257497";257497;"VMI Sports";"Aminogex Ultra Watermelon";0;0;0.0;0.0;0.0;0.0;0;1000.0;1.25;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257498";257498;"VMI Sports";"Aminogex Ultra Miami Vice";0;0;0.0;0.0;0.0;0.0;0;1000.0;1.25;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257499";257499;"VMI Sports";"Aminogex Ultra Red Fruit Candy";0;0;0.0;0.0;0.0;0.0;0;1000.0;1.25;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257500";257500;"VMI Sports";"Aminogex Ultra Tropical Mango";0;0;0.0;0.0;0.0;0.0;0;1000.0;1.25;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257528";257528;"VMI Sports";"K-XR Original Pre-Workout Blackberry Lemonade";0;400;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;300.0;3.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257529";257529;"VMI Sports";"K-XR Original Pre-Workout Gummy Bear";0;586;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;300.0;3.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257530";257530;"VMI Sports";"K-XR Original Pre-Workout Miami Vice";0;586;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;300.0;3.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257531";257531;"VMI Sports";"K-XR Original Pre-Workout Patriot Pop";0;586;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;300.0;3.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257532";257532;"VMI Sports";"K-XR Original Pre-Workout Peach Mango";0;586;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;300.0;3.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257575";257575;"Jacked Factory Essential Series";"Creatine Monohydrate 5000 mg Unflavored";0;0;5.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257588";257588;"Jacked Factory";"EAA Surge Pineapple";0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257734";257734;"VMI Sports Black Series";"S.M.A.R.T. Creatine Unflavored";10;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257757";257757;"Jacked Factory JF";"Intrasurge Fruit Punch";0;125;0.0;0.0;0.0;0.0;1000;0.0;0.0;4.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257774";257774;"Gaspari Nutrition";"SuperPump Aggression Pre-Workout Lights Out Lemon";0;400;0.0;3.2;0.0;4.0;1500;0.0;2.0;0.0;1500.0;0.0;200.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/257840";257840;"Jacked Factory JF";"Nitrosurge Black Lemon Lime";0;180;0.0;0.0;90.0;0.0;0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257854";257854;"Jacked Factory";"Pumpsurge Cucumber Lime";0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/257998";257998;"Optimum Nutrition";"Essential Amino Energy Concord Grape";10;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/258063";258063;"Cellucor";"C4 Ripped Sport Arctic Snow Cone";5;135;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
